简称,全称,单位,公式,定义
minFDE,最小终点距离误差,米,minFDE=(||\widetilde{P}_{-1}-P_{-1}||_{L2})其中，|.||_{L2}表示欧氏距离,预测轨迹与真实轨迹的最小终点误差
minADE,最小平均距离误差,米,minADE=||\widetilde{P}_i^k-P_i||_{L2} where\widetilde{P}_i是预测轨迹上的i\_th点，P_i是真实轨迹上的i\_th点 k=argmin(||\widetilde{P}_{-1}^k-P_{-1}||_{L2}),终点误差最小的轨迹之间的距离误差
KFE,关键帧距离误差,米,KFE=||\widetilde{P}_{i}^k-P_{i}||_{L2}其中， i== 1，3，5，8,keyFrameError，1，3，5，8秒的途经点的距离误差
KFLLE,关键帧的纵横误差,米,abs(\widetilde{P}_{i}^k.x-P_{i}.x) abs(\widetilde{P}_{i}^k.y-P_{i}.y){P}_{i}.x 表示途经点的x坐标，{P}_{i}.y 表示途经点的y坐标,keyFrame_longtitute_latitude_errors; 1，3，5，8秒的途经点的横向误差和纵向误差
